id;code;name;town_id;icao;name_eng
168;CVG;Цинциннати;CVG;KCVG;Cincinnati
169;CWL;Кардифф-Уэльс;CWL;EGFF;Cardiff
170;CXR;Камрань;CXR;VVCR;
171;CZM;Козумель;CZM;MMCZ;Cozumel INTL
172;DAC;Дакка;DAC;VGZR;Dhaka
173;DAD;Дананг;DAD;VVDN;Danang
174;DAM;Дамаск;DAM;OSDI;Damascus
175;DAR;Дар-эс-Салам;DAR;HTDA;Dar Es Salam
176;DBV;Дубровник;DBV;LDDU;Dubrovnik
177;DCA;Рональд Рейган;WAS;KDCA;Ronald Reagan
178;DEL;Индира Ганди Межд.;DEL;VIDP;Indira Gandhi Intl
179;DEN;Денвер;DEN;KDEN;Denver Co
180;DFW;Даллас;DFW;KDFW;Dallas-Fort Worth IN
181;DHA;Дахран;DHA;;Dhahran
182;DIA;Доха Международный;DOH;OTBD;Doha Int
183;DIJ;Дижон;DIJ;LFSD;Dijon
184;DJE;Джерба;DJE;DTTJ;Jerba
185;DKR;Дакар;DKR;GOOY;Dakar
186;DLA;Дуала;DLA;FKKD;Douala
187;DLC;Далиан;DLC;;Dalian
188;DLE;Доле;DLE;LFGJ;Dole
189;DLM;Даламан;DLM;LTBS;Dalaman
190;DME;Домодедово;MOW;UUDD;Domodedovo
191;DMK;Дон Муанг  ;DMK;;
192;DMM;Даммам;DMM;;Dammam
193;DNK;Днепропетровск;DNK;UKDD;Dnipropetrovs'k
194;DOH;Хамад Международный;DOH;OTHH;Hamad Intl
195;DOK;Донецк;DOK;UKCC;Donetsk
196;DOL;Девиль;DOL;LFRG;Deauville
197;DPS;Бали;DPS;WADD;Ngurah Rai
198;DRS;Дрезден;DRS;EDDC;Dresden
199;DRW;Дарвин;DRW;;Darwin
200;DTW;Детройт;DTT;KDTW;Detroit
201;DUB;Дублин;DUB;EIDW;Dublin
202;DUR;Дурбан;DUR;;Durban
203;DUS;Дюссельдорф;DUS;EDDL;Dusseldorf
204;DWC;Аль-Мактум  ;DWC;OMDW;Al Maktoum
205;DXB;Дубай;DXB;OMDB;Dubai
206;DYR;Анадырь;DYR;UHMA;Anadyr
207;DYU;Душанбе;DYU;UTDD;Dushanbe
208;DZN;Джезказган;DZN;UAKD;Zhezkazgan
209;EBB;Энтеббе;EBB;HUEN;Entebbe
210;EBJ;Эсбьерг;EBJ;EKEB;Esbjerg
211;EDI;Эдинбург;EDI;EGPH;Edinburgh
212;EFL;Кефалония;EFL;LGKF;Kefalonia
213;EGC;Бержерак;EGC;LFBE;Bergerac(Roumaniere)
214;EGO;Белгород;EGO;UUOB;Belgorod
215;EIE;Енисейск;EIE;UNII;Eniseysk
216;EIN;Эйндховен;EIN;EHEH;Eindhoven
217;ELF;Эль-Фашир;ELF;;El Fasher
218;EMA;Мидленд;EMA;EGNX;East Midlands - Derb
219;ENC;Нанси;ENC;LFSN;Nancy
220;ERF;Эрфурт;ERF;EDDE;Erfurt
221;ERZ;Эрзурум;ERZ;LTCE;Erzurum
222;ESB;Анкара;ANK;LTAC;Esenboga
223;ESK;Ейск;ESK;URKE;
224;ESL;Элиста;ESL;URWI;Elista
225;ETH;Элат;ETH;LLET;Eilat
226;ETZ;Метц;ETZ;LFJL;Metz-Nancy-Lorraine
227;EVE;Эвенес;EVE;ENEV;Evenes
228;EVN;Звартноц;EVN;UDYZ;Zvartnots
229;EWR;Ньюарк;NYC;KEWR;Newark Liberty Inter
230;EWW;Советск;EWW;USHS;
231;EZE;Буэнос-Айрес;BUE;SAEZ;Buenos Aires
232;FAB;Фарнборо;LON;EGLF;Farnborough
233;FAN;Листа;FAN;ENLI;Lista Ab
234;FAO;Фаро;FAO;LPFR;Faro
235;FBU;Форнебу;OSL;ENFB;Fornebu
236;FCO;Фьюмичино;ROM;LIRF;Fiumicino
237;FDF;Форт де Франс;FDF;TFFF;Fort de France 
238;FDH;Фридрихсхавен;FDH;EDNY;FRIEDRICHSHAFEN
239;FEG;Фергана;FEG;UTKF;Fergana
240;FIH;Киншаса;FIH;;Kinshasa
241;FJR;Фуджейра;FJR;OMFJ;Fujarah
242;FKB;Карлсруэ;FKB;EDSB;Soellingen
243;FKI;Кисангани;FKI;FZIC;Kisangani
244;FLL;Форт Лодердейл;FLL;KFLL;FT Lauderdale
245;FLR;Флоренция;FLR;LIRQ;Florence
246;FMM;Мемминген;FMM;EDJA;Memmingen
247;FNA;Фритаун;FNA;GFLL;Lungi
248;FNI;Гарон;FNI;LFTW;Garons
249;FNJ;Пхеньян;FNJ;ZKPY;Sunan
